ID,名称1(表記),名称1(よみ),名称2(表記),名称2(よみ),都道府県,市区町村,行政区,住所(表記),住所(よみ),優先順位,インバウンド優先順位,緯度,経度,郵便番号,電話番号,FAX番号,メールアドレス,Webサイト,AED設置施設名,AED設置場所,市区町村コード,情報提供元,更新日時,説明,ジャンル情報,画像1,画像1の名前(表記),画像1の名前(よみ),画像1の撮影年月日,画像1の撮影場所,画像1の著作権の有無
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34205KANKO0045815,千光寺公園展望台,せんこうじこうえんてんぼうだい,,,広島県,尾道市,,東土堂町20,,1,1,34.410678,133.196933,722-0033,0848-38-9184,,,,,,34205,広島県尾道市,2016/12/15 17:02,尾道市街はもちろん、瀬戸内海の多島美が一望できる。天気の良い日には四国連山をも遠望できる。,見る/施設景観/展望施設,https://www.chiikinogennki.soumu.go.jp/k-cloud-api/v001/kanko/view/34205KANKO0045815/base/34/205/34205KANKO0045815001.jpg,,,,,無
34205KANKO0014631,浄土寺,じょうどじ,,,広島県,尾道市,,東久保町20-28,,3,3,34.411951,133.210136,722-0043,0848-37-2361,,,http://www.ermjp.com/j/temple/,,,34205,広島県尾道市,2016/12/15 16:19,真言宗泉涌寺派大本山の寺院。山号は転法輪山,見る/神社仏閣/神社・仏閣等,https://www.chiikinogennki.soumu.go.jp/k-cloud-api/v001/kanko/view/34205KANKO0014631/base/34/205/34205KANKO0014631001.jpg,,,,,無
34205KANKO0015370,西國寺,さいこくじ,,,広島県,尾道市,,西久保町29-27,,4,4,34.415904,133.203387,722-0044,0848-37-0321,0848-37-0615,,http://www.saikokuji.jp/,,,34205,広島県尾道市,2016/12/15 15:17,真言宗醍醐派大本山である。山号は摩尼山、院号は総持院。本尊は薬師瑠璃光如来坐像（国の重要文化財）で秘仏である。,見る/神社仏閣/神社・仏閣等,https://www.chiikinogennki.soumu.go.jp/k-cloud-api/v001/kanko/view/34205KANKO0015370/base/34/205/34205KANKO0015370001.jpg,,,,,無
34205KANKO0011154,千光寺,せんこうじ,,,広島県,尾道市,,東土堂町15-1,,2,2,34.410587,133.198711,722-0033,0848-23-2310,,,http://www.senkouji.jp/,,,34205,広島県尾道市,2016/12/15 16:57,朱塗りの本堂「赤堂」や”残したい日本の音風景100選”に選定された「鐘楼」はこのお寺のシンボル的存在。初詣のスポットとしても知られ、例年多くの参拝客が訪れます。,見る/神社仏閣/神社・仏閣等,https://www.chiikinogennki.soumu.go.jp/k-cloud-api/v001/kanko/view/34205KANKO0011154/base/34/205/34205KANKO0011154001.jpg,,,,,無
34205KANKO0085799,桂馬蒲鉾商店,けいまかまぼこしょうてん,,,広島県,尾道市,,土堂1-9-3,,12,6,34.406193,133.197403,722-0035,0848-25-2490,0848-25-2500,,http://keima-kamaboko.com/,,,34205,広島県尾道市,2016/12/15 14:49,尾道に大正二年創業、平成25年で創業100年を迎えました。瀬戸内で獲れる生魚を主原料に保存料・化学調味料は使用せず、ひとつひとつ伝統の手仕事でお作りしています.,買う/名産品/ショッピング店,https://www.chiikinogennki.soumu.go.jp/k-cloud-api/v001/kanko/view/34205KANKO0085799/base/34/205/34205KANKO0085799001.jpg,,,,,有
34205KANKO0046579,高見山展望台,たかみやまてんぼうだい,,,広島県,尾道市,,向島町立花,,2,10,34.368272,133.207147,722-0073,0848-38-9184,,,,,,34205,広島県尾道市,2016/12/16 8:42,高見山は、標高283m、山頂からの展望は四方に開け、四国山脈を望み、瀬戸内海に浮かぶ島々を一望することができる内海随一の国立公園で、村上水軍の見張り台があったことでも知られています,見る/施設景観/展望施設,https://www.chiikinogennki.soumu.go.jp/k-cloud-api/v001/kanko/view/34205KANKO0046579/base/34/205/34205KANKO0046579001.jpg,,,,,無
,岩屋荒神社,,,,広島県,尾道市,,向東町,,14,15,34.403096,133.208082,,,,,,,,34205,広島県尾道市,,山頂部は南北にのび、南側に巨石群、北側に大元神社が鎮座。 しまなみ海道を北へ走ると尾道水道手前左側に見ることができる,,https://lh4.googleusercontent.com/-oe5FvSkDySo/V_JEVMT3QHI/AAAAAAACBO4/PBd5OrDH9SMGQuHGH6kpF5-yjNTI44WEwCJkC/s320-k-no/,,,,,無
,大浜海水浴場,,,,広島県,洲本市,,海岸通1-871-1,,13,14,34.341939,134.902401,,,,,,,,34205,広島県洲本市,,洲本市の市街地に隣接するこの海水浴場は、遠浅で白い砂浜と青い海がとても美しいです。大浜公園に遊歩道も整備され、白い砂浜に千本松と呼ばれる黒松が生い茂る中を散策することができます。,,https://www.bing.com/images/search?q=%e5%a4%a7%e6%b5%9c%e6%b5%b7%e6%b0%b4%e6%b5%b4%e5%a0%b4&view=detailv2&&id=F38E9BA3AADFAC6C69615D9B611E9F645038B3B6&selectedIndex=1&ccid=KOv8joYo&simid=608003641941819904&thid=OIP.M28ebfc8e86280ac06bab37cbfa83e0b0o0,,,,,無
,白滝山五百羅漢,,,,広島県,尾道市,,因島重井町,,6,5,34.340496,133.142792,,,,,,,,34205,広島県尾道市,,標高227メートルの白滝山は、因島村上水軍6代当主村上吉充が観音堂を建立し、文政10年柏原伝六とその弟子達によって造られた700体の石仏がところせましと並んでいる。頂上からの展望は素晴らしく、歌人吉井勇は「白滝の山に登れば眼路広し　島あれば海　海あれば島」と詠んでいます。 白滝山と除虫菊の風景は「にほんの里100選」に選定されています。,,https://geo0.ggpht.com/cbk?panoid=hY9UNZdy-fp3yoQYho9O5g&output=thumbnail&cb_client=search.LOCAL_UNIVERSAL.gps&thumb=2&w=227&h=160&yaw=121.7468&pitch=0&thumbfov=100,,,,,無
,水軍城,,,,広島県,尾道市,,因島中庄町3228-2,,10,7,34.328011,133.166412,,0845-24-0936,,,,,,34205,広島県尾道市,,因島水軍城は、広島県尾道市の因島にある村上水軍の資料館。この位置には過去に天守が存在していたことはなく、いわゆる城郭風建築物になる,,https://www.ononavi.jp/upload/facilities/1330571294-1l.jpg?1482033376,,,,,有
,因島フラワーセンター,,,,広島県,尾道市,,因島重井町馬神,,11,12,34.340488,133.142807,,0845-25-1187,,,,,,34205,広島県尾道市,,尾道市因島フラワーセンターは、広島県尾道市因島に位置する植物園。因島フラワーセンターとも呼ばれる。,,https://www.ononavi.jp/upload/facilities/1330571306-1l.jpg?1482033431,,,,,有
,万田発酵,,,,広島県,尾道市,,因島重井町 5800-9,,9,11,34.3301793,"133.1344518,17",,,,,,,,34205,広島県尾道市,,因島がはぐくんだ、自然生まれの健康力「万田酵素」を製造・販売する万田発酵株式会社の公式ブランドサイト,,https://www.ononavi.jp/upload/facilities/1330571610-1l.jpg?1482033459,,,,,有
,平山郁夫美術館,,,,広島県,尾道市,,瀬戸田町沢２００?２,,8,9,34.305718,133.088235,,,,,,,,34205,広島県尾道市,,平山郁夫美術館は、広島県尾道市瀬戸田町にある美術館。,,https://www.ononavi.jp/upload/facilities/1330571296-1l.jpg?1482033491,,,,,有
34205KANKO0011174,耕三寺,こうさんじ,,,広島県,尾道市,,瀬戸田町瀬戸田553-2,,5,8,34.303924,133.090232,722-2411,0845-27-0800,,,http://www.kousanji.or.jp/,,,34205,広島県尾道市,2016/12/15 14:56,耕三寺は、広島県尾道市に所在する浄土真宗本願寺派の仏教寺院。,見る/神社仏閣/神社・仏閣等,https://www.chiikinogennki.soumu.go.jp/k-cloud-api/v001/kanko/view/34205KANKO0011174/base/34/205/34205KANKO0011174001.jpg,,,,,有
34205KANKO0059602,瀬戸田サンセットビーチ（しまなみレモンビーチ）,せとださんせっとびーち（しまなみれもんびーち）,,,広島県,尾道市,,瀬戸田町垂水1506-15,,15,13,34.280173,133.072295,722-2404,0845-27-1100,,,http://www.onomichi-sunset-beach.jp/,,,34205,広島県尾道市,2016/12/15 15:33,戸田サンセットビーチは、広島県尾道市の生口島にある海水浴場。愛称しまなみレモンビーチ。日本の水浴場88選。,遊ぶ/スポーツ・レジャー/海水浴場,https://www.chiikinogennki.soumu.go.jp/k-cloud-api/v001/kanko/view/34205KANKO0059602/base/34/205/34205KANKO0059602001.jpg,,,,,無
