名称,名称(英語),カテゴリ,カテゴリ補足,ジャンル,ジャンル,ジャンル,ジャンル,季節,場所,郵便番号,都道府県名,市区町村名,行政区名,住所,住所(かな),緯度,経度,説明(日本語),説明(英語),電話番号,FAX番号,営業時間,開所時刻,閉所時刻,定休日,利用料金,画像URL,画像URL,画像URL,サムネイル画像URL,ホームページアドレス,創設日,創設者,所在地（基本、名称と同じもの）,名称(中国語簡体字),説明(中国語簡体字),名称(中国語繁体字),説明(中国語繁体字),名称(韓国語),説明(韓国語),名称(ポルトガル語),説明(ポルトガル語),標準地域コード
千光寺公園,senkoji park,観光,公園,観る,,,,,,,広島県,尾道市,,西土堂町19-1,,34.411037,133.195041,千光寺山の山頂から中腹にかけて広がる。 日本桜名所100選にも選ばれており、春は桜が園内を埋め尽くす。,,0848-38-9184（尾道市観光課）,,0:00〜24:00,,,なし,無料,http://www.ononavi.jp/onomichiya/upload/photos/1189388608l.jpg,,,,,,,,,,,,,,,,http://statdb.nstac.go.jp/lod/sac/C34205
おのみち歴史博物館,onomichi historical museum,観光,資料館・博物館,観る,,,,,,,広島県,尾道市,,久保1丁目14-1,,34.409772,133.204847,尾道市重要文化財である旧尾道銀行本店を改装した博物館。館内には尾道の中世を伝える尾道遺跡の考古資料、当地ゆかりの文人墨客の美術品が並ぶ。,,0848-37-6555,,10:00〜18:00,10:00:00,18:00:00,火曜日（祝日の場合は翌日）,200円,http://www.ononavi.jp/onomichiya/upload/photos/1245112673l.jpg,,,,,,,,,,,,,,,,http://statdb.nstac.go.jp/lod/sac/C34205
おのみち映画資料館,museum of cinema in onomichi,観光,資料館・博物館,観る,,,,,,,広島県,尾道市,,久保1丁目14-10,,34.409519,133.205212,小津安二郎監督の「東京物語」など尾道ゆかりの映画資料を展示するほか、ミニシアターもあり,,0848-37-8141,,10:00〜18:00,10:00:00,18:00:00,火曜日（祝日の場合は翌日）,500円（おのみち歴史博物館共通券）,http://www.ononavi.jp/onomichiya/upload/photos/1189385475l.jpg,,,,,,,,,,,,,,,,http://statdb.nstac.go.jp/lod/sac/C34205
おのみち文学の館,onomichi literature gallery,観光,資料館・博物館,観る,,,,,,,広島県,尾道市,,東土堂町13-28（文学記念室）,,34.409442,133.199413,林芙美子が晩年まで筆を執った東京の自宅書斎を再現し、肉筆原稿や遺品などを展示する「林芙美子記念室」を中心に、高垣眸・横山美智子・行友李風など、尾道ゆかりの文学者たちの遺品・資料などを展示,,0848-22-4102,,9:00〜17:00,9:00:00,17:00:00,年末年始、12月〜2月の火曜日,300円,http://www.ononavi.jp/onomichiya/upload/photos/1189402886l.jpg,,,,,,,,,,,,,,,,http://statdb.nstac.go.jp/lod/sac/C34205
千光寺山ロープウェイ,Mt.senkoji ropeway,観光,他に分類されない観光地点,観る,,,,,,,広島県,尾道市,,東土堂町20-1,,34.410663,133.201484,千光寺山の山麓（長江口）・山頂間を運行。ロープウェイゴンドラの中からは、次第に景色が変わり、尾道市街地・瀬戸内の多島美を満喫いただけます。,,0848-22-4900,,9:00〜17:15,9:00:00,17:15:00,無休　（荒天時臨時運休あり）,大人：片道320円／往復500円、こども：片道160円　往復250円,http://www.ononavi.jp/onomichiya/upload/photos/1296798724l.jpg,,,,,,,,,,,,,,,,http://statdb.nstac.go.jp/lod/sac/C34205
尾道市立美術館,onomichi city museum of art,観光,美術館,観る,,,,,,,広島県,尾道市,,西土堂町17-19,,34.409946,133.195776,千光寺公園に建つ美術館。建築家・安藤忠雄氏の設計による改修工事を終えて、2003年1月に『印象派の故郷展』でリニューアルオープン。,,0848-23-2281,,9:00〜17:00,9:00:00,17:00:00,月曜日（祝日の場合は開館）,展覧会毎に異なる,http://www.ononavi.jp/onomichiya/upload/photos/1208244783l.jpg,,,,,,,,,,,,,,,,http://statdb.nstac.go.jp/lod/sac/C34205
天然温泉尾道ふれあいの里,natural spa onomichi fureai no sato,観光,温泉地,遊ぶ,,,,,,,広島県,尾道市,,御調町高尾1369,,34.513294,133.129418,源泉かけ流しの「癒しの湯」、野趣あふれる露天風呂「歓喜の湯」など,,0848-77-0177,,10:00〜22:00,10:00:00,22:00:00,無休（施設点検のため臨時休館あり）,大人（中学生以上） 820円、子供（小学生以下） 510円,http://www.ononavi.jp/onomichiya/upload/photos/1189413322l.jpg,,,,,,,,,,,,,,,,http://statdb.nstac.go.jp/lod/sac/C34205
桂馬かまぼこ店,,観光,,買う,,,,,,,広島県,尾道市,,土堂１丁目９?３,,34.406192,133.195214,尾道に大正二年創業、平成25年で創業100年を迎えました。,,,,9:00-18:00,,,,,https://www.ononavi.jp/upload/facilities/1330571568-5m.jpg?1481981588,,,,,,,,,,,,,,,,http://statdb.nstac.go.jp/lod/sac/C34205
千光寺,,龍が如く,,,,,,,,,広島県,尾道市,,東土堂町１５?１,,34.243933,133.115562,尾道に来たらここ。　もともとは弘法大師の開基とされる真言宗のお寺であり、毎年多くの参拝客が訪れている。,,0848-23-2310,,,,,年中無休,無料,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Senkoji_Onomichi16s3872.jpg/200px-Senkoji_Onomichi16s3872.jpg,,,,,,,,,,,,,,,,
千光寺展望台,,龍が如く,,,,,,,,,広島県,尾道市,,西土堂町19,,34.410767,133.196921,千光寺山の頂上にそびえる展望台。尾道の街並みだけでなく、海や島も一望することができる。,,0848‐38‐9184,,終日開放,,,なし,無料,http://yakei-fan.com/yakei/image/hiroshima/pic_senkouji03.jpg,,,,,,,,,,,,,,,,
細い坂道,,龍が如く,,,,,,,,,広島県,尾道市,,,,34.408576,133.199097,尾道といえば坂道の街。龍が如くで出てきたこの風景、尾道ではごく当たり前の事なんです。,,,,,,,,,http://ryu-ga-gotoku.com/six/map/images/pic04a.jpg,,,,,,,,,,,,,,,,
陸橋と線路,,龍が如く,,,,,,,,,広島県,尾道市,,,,34.408804,133.200691,国道2号線沿いにはしる線路。ここを境に山のエリアと商店街のエリアに分かれる。,,,,,,,,,http://ryu-ga-gotoku.com/six/map/images/pic05a.jpg,,,,,,,,,,,,,,,,
おやつとやまねこ,,龍が如く,,,,,,,,,広島県,尾道市,,東御所町３?１,,34.405154,133.19257,ヤマネコカフェの支店。おすすめはもちろん「尾道プリン」。プリンの特性レモンシロップは極上です。,,0848-23-5082,,10:00-19:00,,,,,http://ryu-ga-gotoku.com/six/map/images/pic06a.jpg,,,,,,,,,,,,,,,,
フェリー乗り場,,龍が如く,,,,,,,,,広島県,尾道市,,土堂１丁目１２,,34.4057472,133.197397,実は尾道から渡船できる港は3つもある。船の頻度が多いうえに、100円から60円の価格で乗れるのだから驚きだ。,,0848-44-2711,,,,,,,http://ryu-ga-gotoku.com/six/map/images/pic07a.jpg,,,,,,,,,,,,,,,,
尾道本通り商店街,,龍が如く,,,,,,,,,広島県,尾道市,,,,34.4068577,133.199197,尾道のメインストリートである商店街。多くの店舗が入っており、どの店舗もよい。,,,,,,,,,http://ryu-ga-gotoku.com/six/map/images/pic08a.jpg,,,,,,,,,,,,,,,,
センター街看板,,龍が如く,,,,,,,,,広島県,尾道市,,,,34.408934,133.202374,アーケードがとぎれたこの場所から、ふと外を眺めると千光寺がよく見えます。ふとただずむのも一興。,,,,,,,,,http://ryu-ga-gotoku.com/six/map/images/pic09a.jpg,,,,,,,,,,,,,,,,
歓楽街の三叉路,,龍が如く,,,,,,,,,広島県,尾道市,,,,34.410403,133.205969,閑散としている昼間に比べ、夜の盛り上がりには驚くものがある。尾道自慢の昭和の香り漂うロマン通り。,,,,,,,,,http://ryu-ga-gotoku.com/six/map/images/pic10a.jpg,,,,,,,,,,,,,,,,
スナック清美のある通り,,龍が如く,,,,,,,,,広島県,尾道市,,,,34.410458,133.205737,商店街を東に進むとスナック街。尾道のスナックのママは強い。何か思うことがあるならママに相談するのもいいかと。,,,,,,,,,http://ryu-ga-gotoku.com/six/map/images/pic11a.jpg,,,,,,,,,,,,,,,,
米徳,,龍が如く,,,,,,,,,広島県,尾道市,,久保1-12-5,,34.410581,133.202983,尾道人気の居酒屋。1500円で食べられる肉鍋を一度でも食すると、もう貴方は他の肉鍋が食べられなくなるかも。,,0848-36-5109,,17:20-2:00,,,,,http://ryu-ga-gotoku.com/six/map/images/pic12a.jpg,,,,,,,,,,,,,,,,